                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74805,                 1.5623,                 2.6197,                 1.2559,                0.20559,                0.57146,                0.36677,                0.29328,                0.20559,                0.57146,                0.36679,                0.31493,                0.70491,                0.99385,                 2.9968,                 1.6187,             0.00036663,             0.00036663,             0.00036663
                      2,                0.73088,                0.96073,                 1.8023,                 1.1904,                0.47763,                0.71833,                0.57622,                0.42362,                0.47763,                0.71833,                0.57709,                0.49028,                0.76371,                0.90358,                 5.6621,                 1.8029,             0.00072237,             0.00072237,             0.00072237
                      3,                0.68639,                0.94764,                 1.5313,                 1.1581,                0.35079,                0.46863,                0.51953,                0.44741,                0.35079,                0.46863,                0.51903,                0.44158,                0.67646,                 1.0179,                 3.0953,                 1.4897,              0.0010634,              0.0010634,              0.0010634
                      4,                 0.7004,                0.95337,                 1.4025,                 1.1758,                0.35806,                0.43627,                0.43837,                0.25178,                0.35806,                0.43627,                0.43841,                0.34101,                 1.3709,                 1.1185,                 3.8124,                 3.2546,               0.001045,               0.001045,               0.001045
                      5,                0.68665,                0.94894,                 1.3599,                 1.1653,                 0.3929,                    0.4,                0.48978,                0.41478,                 0.3929,                    0.4,                0.48978,                0.42954,                0.58804,                0.89675,                 3.3484,                 1.3724,               0.001045,               0.001045,               0.001045
                      6,                 0.7003,                0.99181,                 1.3457,                 1.1489,                0.39914,                0.40094,                0.50728,                0.42132,                0.39914,                0.40094,                0.50726,                0.44187,                0.65896,                 1.0026,                 4.1167,                 1.5491,               0.001023,               0.001023,               0.001023
                      7,                0.66167,                0.89766,                 1.1687,                  1.133,                0.47864,                   0.59,                0.53079,                0.46712,                0.47864,                   0.59,                0.53079,                 0.4693,                0.57838,                0.75174,                 3.2041,                 1.4036,               0.001001,               0.001001,               0.001001
                      8,                0.65258,                0.86915,                 1.1059,                  1.114,                0.39331,                   0.44,                0.45481,                0.38119,                0.39331,                   0.44,                0.45481,                0.40678,                0.63634,                0.93355,                 3.5077,                 1.3933,             0.00097901,             0.00097901,             0.00097901
                      9,                0.65068,                0.89155,                  1.029,                 1.1198,                0.39874,                    0.4,                0.50053,                0.42785,                0.39874,                    0.4,                0.50066,                0.44612,                0.59423,                0.79994,                 3.2546,                 1.4241,             0.00095702,             0.00095702,             0.00095702
                     10,                 0.6561,                0.92622,                 1.0161,                  1.122,                0.39861,                    0.4,                0.44939,                 0.3923,                0.39861,                    0.4,                0.44937,                 0.4063,                0.49361,                0.85687,                  3.394,                 1.2273,             0.00093502,             0.00093502,             0.00093502
