                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74865,                 1.5178,                 2.5554,                 1.1101,                0.29184,                   0.67,                 0.3605,                0.31863,                0.29184,                   0.67,                 0.3605,                0.30538,                0.51575,                 1.0825,                 2.9514,                0.98109,             0.00036848,             0.00036848,             0.00036848
                      2,                0.78081,                  1.022,                 1.8408,                 1.1246,                0.46107,                0.61743,                0.55179,                0.41577,                0.46107,                0.61743,                0.55179,                0.46113,                0.78298,                0.98721,                 2.7971,                 1.1818,             0.00072419,             0.00072419,             0.00072419
                      3,                0.76691,                0.97448,                 1.5063,                 1.0879,                0.39307,                0.41266,                0.52456,                0.46587,                0.39307,                0.41266,                0.52139,                0.46027,                0.51418,                0.84244,                  3.533,                 0.9849,              0.0010652,              0.0010652,              0.0010652
                      4,                0.72192,                0.95109,                 1.3719,                 1.0701,                  0.398,                    0.4,                0.43389,                0.36499,                  0.398,                    0.4,                0.43208,                0.37592,                0.55883,                0.84741,                 3.7233,                 1.0096,               0.001045,               0.001045,               0.001045
                      5,                 0.7332,                0.91045,                 1.3297,                 1.0666,                0.39833,                    0.4,                0.43718,                0.35727,                0.39833,                    0.4,                0.43599,                0.38012,                0.57474,                0.88074,                 4.3352,                 1.1072,               0.001045,               0.001045,               0.001045
                      6,                0.71029,                0.93288,                 1.2732,                 1.0529,                0.39839,                    0.4,                0.42566,                0.37692,                0.39839,                    0.4,                0.42497,                0.38949,                0.66741,                0.92605,                 4.8103,                 1.0983,               0.001023,               0.001023,               0.001023
                      7,                0.69313,                0.92353,                 1.1914,                 1.0503,                0.39879,                    0.4,                0.44327,                0.40179,                0.39879,                    0.4,                0.44291,                0.39692,                0.52185,                0.97183,                 3.2365,                 1.0287,               0.001001,               0.001001,               0.001001
                      8,                0.67699,                0.87489,                 1.1126,                 1.0359,                0.59695,                0.40408,                0.48244,                0.42526,                0.59695,                0.40408,                0.48233,                0.44182,                 0.5321,                0.90413,                 3.0502,                 1.0037,             0.00097901,             0.00097901,             0.00097901
                      9,                0.66469,                0.90193,                 1.0452,                 1.0237,                0.39845,                    0.4,                0.40166,                0.33125,                0.39845,                    0.4,                 0.4015,                0.35829,                0.63112,                   0.84,                 3.7556,                 1.0852,             0.00095702,             0.00095702,             0.00095702
                     10,                0.66647,                0.89352,                 1.0115,                 1.0342,                0.39895,                    0.4,                0.44615,                0.39843,                0.39895,                    0.4,                0.44632,                0.40071,                0.49639,                0.95477,                 4.0896,                0.98436,             0.00093502,             0.00093502,             0.00093502
                     11,                0.65878,                0.84565,                0.99089,                 1.0279,                0.39885,                    0.4,                0.39984,                0.36196,                0.39885,                    0.4,                 0.3998,                0.37236,                0.47628,                0.81493,                 3.0474,                 0.9851,             0.00091302,             0.00091302,             0.00091302
                     12,                0.63751,                0.84155,                0.93033,                  1.007,                0.39867,                    0.4,                0.40382,                0.35959,                0.39867,                    0.4,                0.40359,                0.37038,                0.47776,                0.86749,                  3.319,                0.99666,             0.00089102,             0.00089102,             0.00089102
                     13,                0.63439,                0.84762,                0.90598,                 1.0158,                0.39859,                    0.4,                0.40479,                0.35624,                0.39859,                    0.4,                0.40442,                0.37756,                0.52637,                0.86884,                 3.0618,                0.99805,             0.00086902,             0.00086902,             0.00086902
                     14,                0.60787,                0.85205,                0.83132,                 1.0017,                 0.3989,                    0.4,                0.41605,                0.37565,                 0.3989,                    0.4,                0.41605,                0.38817,                0.47572,                0.88954,                 3.1664,                0.96995,             0.00084703,             0.00084703,             0.00084703
                     15,                0.64128,                0.83317,                0.81877,                 1.0073,                0.39795,                    0.4,                0.42151,                0.36733,                0.39795,                    0.4,                0.42188,                0.38069,                0.57247,                0.79482,                 2.9997,                 1.0462,             0.00082503,             0.00082503,             0.00082503
                     16,                0.61408,                0.81622,                0.78924,                 1.0036,                 0.3924,                0.41643,                0.46761,                 0.4166,                 0.3924,                0.41643,                0.46767,                0.42836,                0.50718,                0.92984,                 3.0564,                0.96475,             0.00080303,             0.00080303,             0.00080303
                     17,                0.59647,                0.79204,                0.71571,                0.99495,                 0.4046,                0.42577,                0.50734,                0.44651,                 0.4046,                0.42577,                0.49864,                0.45415,                0.52321,                0.86923,                 2.9047,                0.98404,             0.00078103,             0.00078103,             0.00078103
                     18,                0.60328,                0.80598,                  0.778,                 1.0019,                0.42792,                   0.54,                0.46175,                0.40098,                0.42792,                   0.54,                 0.4611,                0.41967,                 0.5287,                0.89771,                 2.6553,                 1.0072,             0.00075904,             0.00075904,             0.00075904
                     19,                0.57704,                0.77954,                0.77955,                0.98409,                0.39887,                    0.4,                0.47394,                 0.4287,                0.39887,                    0.4,                0.47367,                0.42329,                0.52241,                0.87689,                 3.0434,                0.97771,             0.00073704,             0.00073704,             0.00073704
                     20,                0.57134,                0.77942,                0.74371,                0.98657,                0.39834,                    0.4,                0.40968,                0.35412,                0.39834,                    0.4,                0.40771,                0.37306,                0.60281,                0.93938,                 3.4374,                 1.0438,             0.00071504,             0.00071504,             0.00071504
                     21,                0.60416,                0.84923,                0.72796,                0.98994,                0.39888,                    0.4,                0.43645,                0.38765,                0.39888,                    0.4,                0.43245,                0.39416,                0.54192,                0.87798,                 3.1466,                 1.0075,             0.00069304,             0.00069304,             0.00069304
