                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76861,                 1.3283,                 2.0451,                 1.2602,                 0.4862,                0.38451,                0.48286,                0.40823,                 0.4862,                0.38451,                0.48919,                0.42922,                0.72193,                 1.0605,                 3.6053,                 1.6866,             0.00036848,             0.00036848,             0.00036848
                      2,                0.86184,                 1.0905,                 1.5609,                 1.2937,                0.44055,                0.64709,                0.51941,                0.39291,                0.44055,                0.64709,                0.51936,                0.43697,                0.81789,                 1.2118,                 3.4858,                 1.7101,             0.00072419,             0.00072419,             0.00072419
                      3,                0.87923,                 1.0412,                 1.4815,                 1.3045,                0.39245,                0.63882,                0.45429,                0.35025,                0.39245,                0.63882,                0.45429,                0.39086,                0.67004,                 1.1686,                 3.0958,                 1.5641,              0.0010652,              0.0010652,              0.0010652
                      4,                0.86375,                 1.0748,                 1.3625,                 1.2987,                0.29685,                0.62821,                0.61075,                0.51259,                0.29685,                0.62821,                0.61075,                0.52911,                0.69048,                 1.1168,                 2.7549,                 1.6065,               0.001045,               0.001045,               0.001045
                      5,                0.81585,                 1.1145,                 1.2055,                 1.2624,                0.48406,                    0.6,                 0.5524,                0.46709,                0.48406,                    0.6,                 0.5524,                0.49099,                0.69677,                0.93959,                 3.0263,                 1.6194,               0.001045,               0.001045,               0.001045
                      6,                0.82343,                0.99109,                 1.3132,                 1.2452,                0.59248,                0.38352,                0.51143,                0.34256,                0.59248,                0.38352,                0.51143,                0.40675,                 1.0919,                0.92546,                 2.8019,                 2.0308,               0.001023,               0.001023,               0.001023
                      7,                 0.7802,                 0.9727,                 1.1329,                 1.2343,                0.39895,                    0.4,                0.42233,                0.35642,                0.39895,                    0.4,                0.42233,                0.38126,                0.65004,                0.94707,                 3.5854,                 1.6023,               0.001001,               0.001001,               0.001001
                      8,                0.73696,                0.94541,                 1.0402,                 1.2046,                0.47447,                   0.59,                0.54557,                0.41516,                0.47447,                   0.59,                0.54557,                0.45972,                0.88783,                 1.0232,                 2.6028,                 1.8665,             0.00097901,             0.00097901,             0.00097901
                      9,                0.72452,                0.97772,                0.96492,                 1.1696,                0.39828,                    0.4,                0.42104,                 0.3492,                0.39828,                    0.4,                0.42131,                0.37179,                0.68295,                0.84986,                  3.616,                 1.6223,             0.00095702,             0.00095702,             0.00095702
                     10,                0.71796,                0.95823,                0.97106,                 1.1885,                  0.399,                0.40105,                0.50868,                 0.4387,                  0.399,                0.40105,                0.50868,                0.44328,                 0.6384,                0.84738,                 3.0961,                 1.6179,             0.00093502,             0.00093502,             0.00093502
