                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7822,                 1.5471,                 2.5981,                  1.272,                0.23887,                   0.46,                0.47691,                0.37822,                0.23887,                   0.46,                0.47691,                0.39814,                0.76496,                 1.1726,                 2.9497,                 1.6523,             0.00036848,             0.00036848,             0.00036848
                      2,                0.76563,                 1.0304,                 1.9023,                 1.2417,                0.34338,                0.75302,                0.51691,                0.38368,                0.34338,                0.75302,                0.51691,                0.42622,                0.92289,                0.94869,                 4.4196,                 1.8727,             0.00071443,             0.00071443,             0.00071443
                      3,                 0.7593,                0.94774,                 1.6577,                 1.2228,                0.48103,                0.74951,                0.57761,                0.46872,                0.48103,                0.74951,                0.57734,                0.51086,                0.68734,                0.88439,                 3.6333,                 1.4675,              0.0010359,              0.0010359,              0.0010359
                      4,                0.74389,                0.97361,                 1.5409,                 1.2005,                 0.3468,                0.53677,                0.48596,                0.41046,                 0.3468,                0.53677,                0.48596,                0.42994,                0.69532,                0.91327,                 3.9089,                 1.6347,               0.001001,               0.001001,               0.001001
                      5,                0.72877,                0.93061,                 1.4762,                 1.1947,                0.47537,                0.58531,                0.54357,                0.44157,                0.47537,                0.58531,                0.54357,                0.46112,                0.66009,                 0.8683,                 3.4254,                 1.5225,               0.001001,               0.001001,               0.001001
                      6,                 0.6995,                0.94874,                 1.3691,                 1.1551,                0.39873,                    0.4,                 0.4205,                0.35353,                0.39873,                    0.4,                0.42053,                0.37014,                 0.6411,                 0.8912,                 4.2339,                 1.4273,             0.00096435,             0.00096435,             0.00096435
                      7,                0.71876,                0.95156,                 1.3002,                 1.1801,                0.41504,                0.49407,                0.43733,                0.37504,                0.41504,                0.49407,                0.43725,                0.38882,                 0.6866,                 1.0471,                 3.8673,                 1.5124,             0.00092769,             0.00092769,             0.00092769
                      8,                0.66632,                0.88654,                 1.1654,                 1.1392,                 0.3984,                    0.4,                0.41309,                0.32543,                 0.3984,                    0.4,                0.41288,                0.37086,                0.64186,                 0.7956,                 3.1427,                 1.5073,             0.00089102,             0.00089102,             0.00089102
                      9,                0.66758,                0.91822,                 1.1091,                 1.1415,                0.39413,                 0.4059,                0.48339,                0.40022,                0.39413,                 0.4059,                0.48333,                 0.4198,                0.65404,                 0.8229,                 3.4684,                 1.5383,             0.00085436,             0.00085436,             0.00085436
                     10,                0.65997,                 0.8895,                 1.0761,                 1.1349,                0.38036,                0.41828,                0.47111,                0.40851,                0.38036,                0.41828,                0.47108,                0.42269,                0.54455,                0.85236,                 3.6763,                 1.3033,              0.0008177,              0.0008177,              0.0008177
                     11,                0.65161,                 0.8421,                 1.0196,                 1.1311,                0.48072,                    0.6,                0.50044,                0.43337,                0.48072,                    0.6,                0.50456,                0.43887,                0.62338,                0.88095,                 3.0313,                 1.4016,             0.00078103,             0.00078103,             0.00078103
                     12,                0.63761,                0.85024,                0.95315,                 1.1118,                0.39853,                    0.4,                   0.47,                0.41408,                0.39853,                    0.4,                0.47076,                0.41569,                0.52751,                0.82488,                 3.3817,                 1.2873,             0.00074437,             0.00074437,             0.00074437
                     13,                0.62305,                0.87292,                0.96034,                 1.1145,                0.59938,                0.40085,                0.48698,                0.43086,                0.59938,                0.40085,                0.48729,                0.43337,                0.51735,                0.85707,                 3.1895,                 1.2455,             0.00070771,             0.00070771,             0.00070771
                     14,                0.58313,                0.81974,                  0.872,                 1.0858,                0.39827,                    0.4,                0.40513,                0.36353,                0.39827,                    0.4,                0.40572,                0.37567,                0.47565,                 0.7875,                 3.1429,                 1.1793,             0.00067104,             0.00067104,             0.00067104
                     15,                0.61307,                0.84332,                0.87722,                 1.0906,                0.41321,                0.43791,                0.50744,                0.42353,                0.41321,                0.43791,                0.50768,                 0.4386,                0.62453,                 0.8127,                 2.8632,                 1.3578,             0.00063438,             0.00063438,             0.00063438
                     16,                0.60115,                0.84013,                0.84107,                 1.0995,                0.39113,                 0.4097,                0.50854,                0.45651,                0.39113,                 0.4097,                0.50855,                0.45837,                0.48221,                0.86371,                 2.8891,                 1.1732,             0.00059772,             0.00059772,             0.00059772
                     17,                 0.5908,                 0.8087,                0.77008,                 1.0911,                0.40033,                0.41945,                   0.47,                0.42361,                0.40033,                0.41945,                0.47022,                0.43014,                0.50702,                0.86523,                 2.9298,                 1.2294,             0.00056105,             0.00056105,             0.00056105
                     18,                 0.5875,                0.80645,                0.80979,                 1.0928,                 0.3976,                    0.4,                0.44867,                0.39904,                 0.3976,                    0.4,                0.44881,                0.41356,                0.46958,                0.84377,                 3.0734,                 1.1786,             0.00052439,             0.00052439,             0.00052439
                     19,                0.56489,                 0.7966,                0.78728,                 1.0654,                0.39842,                    0.4,                0.41342,                0.36872,                0.39842,                    0.4,                0.41402,                0.38117,                0.46837,                0.87253,                 2.9828,                 1.2108,             0.00048773,             0.00048773,             0.00048773
                     20,                 0.5649,                0.78233,                0.74971,                 1.0699,                 0.3819,                    0.4,                0.48345,                0.41952,                 0.3819,                    0.4,                0.48395,                0.44415,                0.51772,                0.89102,                 3.1125,                 1.2982,             0.00045107,             0.00045107,             0.00045107
                     21,                0.37364,                0.55479,                0.68839,                   1.06,                0.39766,                    0.4,                0.42488,                 0.3667,                0.39766,                    0.4,                  0.425,                0.39253,                0.50549,                0.88774,                 3.1805,                 1.2908,              0.0004144,              0.0004144,              0.0004144
                     22,                 0.3713,                0.53833,                0.61024,                 1.0463,                0.40023,                0.41919,                0.51835,                0.47424,                0.40023,                0.41919,                0.51847,                  0.467,                0.50046,                 0.8804,                  2.996,                 1.2897,             0.00037774,             0.00037774,             0.00037774
                     23,                0.36352,                0.52169,                0.57266,                 1.0575,                0.39808,                    0.4,                0.47682,                0.42164,                0.39808,                    0.4,                0.47722,                0.44039,                  0.528,                 0.7926,                 3.1094,                 1.3306,             0.00034108,             0.00034108,             0.00034108
                     24,                0.35842,                0.51575,                0.55066,                 1.0388,                0.40001,                0.41922,                0.58453,                0.52305,                0.40001,                0.41922,                0.58539,                 0.5262,                0.47659,                0.81513,                 3.1457,                 1.2207,             0.00030441,             0.00030441,             0.00030441
                     25,                0.33973,                0.51211,                0.51967,                  1.042,                0.39988,                0.41866,                0.56554,                0.51106,                0.39988,                0.41866,                0.56768,                0.51495,                0.47287,                 0.8309,                 3.1276,                 1.1747,             0.00026775,             0.00026775,             0.00026775
                     26,                 0.3301,                 0.5081,                0.49363,                 1.0237,                0.39876,                    0.4,                0.46254,                 0.4078,                0.39876,                    0.4,                0.46376,                0.42921,                0.50638,                0.82654,                 3.4538,                 1.2229,             0.00023109,             0.00023109,             0.00023109
                     27,                0.32596,                0.50623,                 0.4755,                 1.0031,                0.39874,                    0.4,                0.47049,                0.41345,                0.39874,                    0.4,                0.47202,                0.43932,                0.49354,                0.82175,                 3.3993,                 1.1849,             0.00019442,             0.00019442,             0.00019442
                     28,                 0.3172,                0.49253,                0.46337,                 1.0189,                0.39852,                    0.4,                0.47269,                0.42573,                0.39852,                    0.4,                0.47429,                0.44141,                0.44892,                0.83325,                 3.2784,                 1.1501,             0.00015776,             0.00015776,             0.00015776
                     29,                0.32145,                0.50462,                0.44874,                 1.0068,                0.39873,                    0.4,                0.48369,                0.43286,                0.39873,                    0.4,                0.48515,                   0.45,                  0.459,                0.87352,                 3.2507,                 1.1583,              0.0001211,              0.0001211,              0.0001211
                     30,                0.30003,                0.48816,                0.44434,                0.99312,                0.39867,                    0.4,                0.51125,                0.46621,                0.39867,                    0.4,                0.51282,                0.47183,                0.43999,                0.89889,                 3.2353,                 1.1459,             8.4436e-05,             8.4436e-05,             8.4436e-05
